x,y,z
-8.057786631,-6.563693784,28.37661427
-7.911327355,-6.477648354,28.14342904
-7.771586663,-6.411388407,27.90127712
-7.63979537,-6.364649225,27.65256723
-7.517034551,-6.337019055,27.39960019
-7.404237562,-6.327974233,27.14456229
-7.302194999,-6.336910139,26.88952404
-7.211561911,-6.363167429,26.63644307
-7.132866564,-6.406053291,26.38717019
-7.066520161,-6.464857699,26.14345743
-7.012826932,-6.53886483,25.90696738
-6.971994132,-6.627359923,25.679283
-6.944141522,-6.729631952,25.4619173
-6.929310023,-6.844972502,25.25632241
-6.927469264,-6.972671286,25.06389752
-6.938523841,-7.112008715,24.88599544
-6.962318146,-7.262245946,24.72392733
-6.998639683,-7.422612823,24.57896541
-7.047220835,-7.592294111,24.45234324
-7.107739092,-7.770414462,24.34525344
-7.179815776,-7.95602255,24.25884244
-7.263013361,-8.148074869,24.19420202
-7.356831517,-8.345419751,24.15235748
-7.46070204,-8.546782217,24.13425213
-7.573982897,-8.750750404,24.14072793
-7.695951659,-8.955764367,24.17250232
-7.825798645,-9.160108208,24.2301412
-7.962620172,-9.361906537,24.31402839
-8.105412376,-9.559126373,24.42433193
-8.25306611,-9.749585614,24.56096812
-8.404363498,-9.930969179,24.72356416
-8.557976774,-10.10085381,24.91142107
-8.71247005,-10.25674232,25.12347841
-8.86630465,-10.39610769,25.35828318
-9.017848623,-10.51644705,25.61396516
-9.165390937,-10.61534482,25.88822145
-9.307160733,-10.69054369,26.17831292
-9.441351794,-10.74002122,26.48107497
-9.566152131,-10.76206921,26.79294484
-9.679778282,-10.75537187,27.11000693
-9.780513555,-10.71907865,27.42805656
-9.866749101,-10.65286683,27.7426815
-9.93702634,-10.55698942,28.04935931
-9.990079001,-10.43230381,28.34356703
-10.02487281,-10.28027803,28.62089869
-10.04064079,-10.10297232,28.87718477
-10.03691223,-9.902995721,29.10860753
-10.01353358,-9.683438668,29.3118059
-9.970679884,-9.447784999,29.48396377
-9.908855926,-9.199807817,29.62287733
-9.828886839,-8.943455139,29.72699761
-9.731898464,-8.68273187,29.7954471
-9.619288456,-8.421584683,29.82801039
-9.492689595,-8.163795919,29.82510113
-9.353927139,-7.912891601,29.7877088
-9.204972352,-7.672067281,29.71732977
-9.047894363,-7.444133908,29.61588803
-8.884812475,-7.23148432,29.48565053
-8.717850808,-7.036079552,29.32914234
-8.549096851,-6.859453024,29.14906547
-8.380565119,-6.70272981,28.94822482
-8.214166713,-6.566657735,28.72946346
-8.051685166,-6.451646898,28.49560857
-7.894758625,-6.357814309,28.24942845
-7.744868104,-6.285030673,27.99360026
-7.603331296,-6.232966795,27.73068787
-7.471301285,-6.201137581,27.46312839
-7.349769382,-6.188942137,27.19322621
-7.239571275,-6.195698968,26.92315307
-7.141395664,-6.220675659,26.65495274
-7.055794622,-6.263112836,26.39054915
-6.983194969,-6.322242403,26.13175663
-6.923910021,-6.39730031,25.88029158
-6.878151188,-6.4875342,25.63778451
-6.846038953,-6.592206378,25.40579188
-6.827612887,-6.710592582,25.18580728
-6.822840408,-6.841977024,24.97927137
-6.831624063,-6.98564419,24.78758026
-6.853807208,-7.140867837,24.612092
-6.889177974,-7.306897623,24.45413093
-6.937471489,-7.482943798,24.31498947
-6.998370354,-7.668160358,24.19592721
-7.071503414,-7.86162712,24.0981668
-7.156442907,-8.062331188,24.02288659
-7.252700115,-8.269148341,23.97120949
-7.35971968,-8.480824976,23.94418782
-7.476872799,-8.695961336,23.94278404
-7.603449567,-8.912996852,23.96784701
-7.738650803,-9.130198608,24.02008378
-7.88157975,-9.34565402,24.10002718
-8.031234126,-9.557268964,24.20799933
-8.186499075,-9.762772661,24.34407191
-8.346141641,-9.95973065,24.50802406
-8.508807445,-10.14556712,24.69929943
-8.673020314,-10.31759767,24.91696405
-8.837185603,-10.47307333,25.15966754
-8.999597957,-10.60923608,25.42561013
-9.158454165,-10.72338561,25.7125187
-9.311871653,-10.81295604,26.01763485
-9.457912925,-10.8756008,26.33771832
-9.594616023,-10.90928229,26.66906843
-9.720030703,-10.91236256,27.00756575
-9.832259631,-10.88368998,27.34873516
-9.929503502,-10.82267656,27.68783018
-10.01010852,-10.72936014,28.0199368
-10.0726143,-10.60444631,28.34009356
-10.11580005,-10.44932532,28.64342278
-10.13872659,-10.26606104,28.92526669
-10.14077184,-10.05735053,29.18132128
-10.12165775,-9.826455092,29.40776002
-10.0814668,-9.577105882,29.60134062
-10.02064684,-9.313388955,29.75948827
-9.940003913,-9.039616554,29.88035122
